//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
107    |LCJL|S4LA,XNLA    |S4     |29,(17-19),11-13,1-3                     |29-31DG,19/21G,19DG,17DG,11DG,3DG,21DG,S1LQ                     |D29,D27,D15,D7,XN;
108    |LCJL|S6LA,XLA    |S6     |(31),(29),(17-19),11-13,(1-3)                     |29-31DG,19/21G,19DG,17DG,11DG,3DG,1-5DG,IAG,21DG,X3JG                     |D29,D27,D15,D7,D1,X;
109    |LCJL|S6LA,XNLA    |S6     |(31),(29),(17-19),11-13,1-3                     |29-31DG,19/21G,19DG,17DG,11DG,3DG,21DG,S1LQ                     |D29,D27,D15,D7,XN;
110    |LCJL|S8LA,XLA    |S8     |31,(29),(17-19),11-13,(1-3)                     |29-31DG,19/21G,19DG,17DG,11DG,3DG,1-5DG,IAG,21DG,X3JG                     |D29,D27,D15,D7,D1,X;
111    |LCJL|S8LA,XNLA    |S8     |31,(29),(17-19),11-13,1-3                     |29-31DG,19/21G,19DG,17DG,11DG,3DG,21DG,S1LQ                     |D29,D27,D15,D7,XN;
112    |LCJL|SIILLA,XLA    |SIIL     |17-19,11-13,(1-3)                     |IIG1,17DG,11DG,3DG,1-5DG,IAG,X3JG                     |SIILLZA,SII,D15,D7,D1,X;
113    |LCJL|SIILLA,XNLA    |SIIL     |17-19,11-13,1-3                     |IIG1,17DG,11DG,3DG,S1LQ                     |SIILLZA,SII,D15,D7,XN;
114    |LCJL|SIILLA,SIILLZA    |SIIL     |                     |,IIG1                     |SIILLZA;
115    |LCJL|S4LLA,XLA    |S4L     |29,(17-19),11-13,(1-3)                     |4G1,29-31DG,19/21G,19DG,17DG,11DG,3DG,1-5DG,IAG,21DG,X3JG                     |S4LLZA,S4,D29,D27,D15,D7,D1,X;
116    |LCJL|S4LLA,XNLA    |S4L     |29,(17-19),11-13,1-3                     |4G1,29-31DG,19/21G,19DG,17DG,11DG,3DG,21DG,S1LQ                     |S4LLZA,S4,D29,D27,D15,D7,XN;
117    |LCJL|S4LLA,S4LLZALA    |S4L     |                     |,4G1                     |S4LLZA;
118    |LCJL|S6LLA,XLA    |S6L     |(31),(29),(17-19),11-13,(1-3)                     |6G1,29-31DG,19/21G,19DG,17DG,11DG,3DG,1-5DG,IAG,21DG,X3JG                     |S6,D29,D27,D15,D7,D1,X;
119    |LCJL|S6LLA,XNLA    |S6L     |(31),(29),(17-19),11-13,1-3                     |6G1,29-31DG,19/21G,19DG,17DG,11DG,3DG,21DG,S1LQ                     |S6,D29,D27,D15,D7,XN;
